SongId,track_number,album_name,track_name,popularity,duration_ms,explicit
60,6nXIYClvJAfi6ujLiKqEq8,The Daylight EP,Sky's Still Blue,62,244320,FALSE
61,7x4b0UccXSKBWxWmjcrG2T,Montage Of Heck: The Home Recordings,And I Love Her,66,124933,FALSE
62,6owKuyHxUqidcAA6fPKSyy,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,FALSE
63,0wbmIfvndFV9VDvuUY1pYN,Covers,Always Be My Baby,62,181852,FALSE
64,3e5yu9MkIvQx17mm7LF6KY,Midnight Waves,Alone with You,58,186584,FALSE
65,6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,Making All Things New,65,159600,FALSE
66,2D4BSm5Z8Hq5zYbSgJwEOh,What's Inside: Songs from Waitress,She Used To Be Mine,67,250266,FALSE
67,7LwGBxB0h0CVmkOZxYKn0g,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65,318908,FALSE
68,0ZwdH0m32I8odedwvspYTh,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,FALSE
69,16dkWKIlBsfYTISCVuDs0w,Whatever It Takes,A Drop In the Ocean,55,219480,FALSE
70,3TwtrR1yNLY1PMPsrGQpOp,America Town,Superman (It's Not Easy),70,221693,FALSE
71,3Et4LKZLnXygPYfNdeB3D3,Dive Deep,When the End Comes,57,354400,FALSE
72,2E9viCx0hJKNKNThd2MdGQ,You're Still The One,You're Still The One,56,177500,FALSE
73,0Zf1BPkkFAWGtVHeBwHHz4,It Doesn't Have To Make Sense,Light Me Up,56,247840,FALSE
74,38jy6kRlPt8z1GUS9WXeNh,Love Is a Four Letter Word,93 Million Miles,67,216386,FALSE
75,2SkJKMfjpYsNv0KWOxiegX,When the Morning Comes,Kaleidoscope,62,229320,FALSE
76,4qCbMMMuEB56kHd4zPE6GD,"Eat, Pray, Love",The Long Road,45,330933,FALSE
77,11TK5KLtLZUdKr1C549bAw,Good Light,What Would I Do Without You,64,172213,FALSE
78,7BXW1QCg56yzEBV8pW8pah,Know.,Have It All,65,226106,FALSE
79,2kMrCPZ0o5gErBPLCRgoli,Mellow Adult Pop,Heavy Heart,0,235173,FALSE
80,5IjTZ1g8KrIuV97N3OQZ0V,Break Up Songs,The House We Never Built,0,195213,FALSE
81,3bHhUEOTIbezeZ856R0BX5,Into The Wild (Music For The Motion Picture),Society,68,236306,FALSE
82,0wf17wsLRwnnfh241GkeH5,u don't deserve me,Please Don't Say You Love Me,0,181400,FALSE
83,3322ArxAq7wCSZI4fF77Q0,Coffee Moment,Please Don't Say You Love Me,0,181400,FALSE
84,4LGF2tDg3878bs0mQPByZ4,Into The Wild (Music For The Motion Picture),Guaranteed,61,164500,FALSE
85,6Uy6K3KdmUdAfelUp0SeXn,The Blessed Unrest,Brave,70,220573,FALSE
86,2z2JKNU24UEngb4joR9p8f,Slow Christmas Songs 2022,Lonely This Christmas,0,257493,FALSE
87,2nef44o0sjJDKB1ta4S0ub,Lonely Christmas 2022,Lonely This Christmas,0,257493,FALSE
88,0qJGlogD7AyMLAJfQ42aI2,Bookmarks,Heaven Knows,62,210612,FALSE
89,04JS6OitE9VGsIS3S94Osg,Slow Christmas Songs 2022,I Heard The Bells On Christmas Day,0,154440,FALSE
90,5OGpsZeJRZ3t3MZioawcZW,Alternative Christmas 2022,I Heard The Bells On Christmas Day,0,154440,FALSE
91,3Vnes7v746dYzBn0FJTZ1W,Alternative Christmas 2022,Fairytale Of New York,0,263866,FALSE
92,30cYWLpVdBZVLb1cYdmcTT,Acoustic Christmas Campfire,I Heard The Bells On Christmas Day,0,154440,FALSE
93,7sUqJ51FGSi3n7x4pYjY3v,Lonely Christmas 2022,I Heard The Bells On Christmas Day,0,154440,FALSE
94,15BFn2VmEtonsXfNL1lUmy,Chill Christmas Dinner,I Heard The Bells On Christmas Day,0,154440,FALSE
95,0WOFJR54wyTwLB11jcBDb1,sadsadchristmas,I Heard The Bells On Christmas Day,0,154440,FALSE
96,1uDCw6LVMOmbZ6zRliNcNX,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,0,154440,FALSE
97,7DYsBLdOqz0z14tYWMt2Tn,Del gusto de mamá,Hold On,0,177613,FALSE
98,7cPuE0M35EajWPRO3nRcH8,OO's Music Grandi Successi,Suddenly I See,0,199040,FALSE
99,4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else (Acoustic),Somebody Else - Acoustic,50,138495,FALSE
100,3us8sod4dLbM9FiMiPiEY8,Black Bear (Hushed),Pieces (Hushed),59,198626,FALSE
